Date,BTC-USD,SPY,QQQ,AAPL,PG,GLD,EURUSD=X
2018-01-01,10291200000.0,,,,,,0.0
2018-01-02,16846600192.0,86655700.0,32573300.0,102223600.0,7558900.0,11762500.0,0.0
2018-01-03,16871900160.0,90070400.0,29383600.0,118071600.0,5863600.0,7904300.0,0.0
2018-01-04,21783199744.0,80636400.0,24776100.0,89738400.0,6322500.0,7329700.0,0.0
2018-01-05,23840899072.0,83524000.0,26992300.0,94640000.0,5949700.0,5739900.0,0.0
2018-01-06,18314600448.0,,,,,,
2018-01-07,15866000384.0,,,,,,
2018-01-08,18413899776.0,57319200.0,23159100.0,82271200.0,4860700.0,3566700.0,0.0
2018-01-09,16659999744.0,57254000.0,24782400.0,86336000.0,6630100.0,9153600.0,0.0
2018-01-10,18500800512.0,69574300.0,34004000.0,95839600.0,6564700.0,14809300.0,0.0
2018-01-11,16534099968.0,62361500.0,20473500.0,74670800.0,5469700.0,5994700.0,0.0
2018-01-12,12065699840.0,90816100.0,37762700.0,101672400.0,8111000.0,9258600.0,0.0
2018-01-13,12763599872.0,,,,,,
2018-01-14,11084099584.0,,,,,,
2018-01-15,12750799872.0,,,,,,0.0
2018-01-16,18853799936.0,106555100.0,41231800.0,118263600.0,9465300.0,8083900.0,0.0
2018-01-17,18830600192.0,113258800.0,33849900.0,137547200.0,8345500.0,10130500.0,0.0
2018-01-18,15020399616.0,100728000.0,26432200.0,124773600.0,7699800.0,6289300.0,0.0
2018-01-19,10740400128.0,140920100.0,38937600.0,129700400.0,9364000.0,8773800.0,0.0
2018-01-20,11801700352.0,,,,,,
2018-01-21,9935179776.0,,,,,,
2018-01-22,10537400320.0,91322400.0,26081400.0,108434400.0,8658000.0,4893500.0,0.0
2018-01-23,9660609536.0,97084700.0,37989700.0,130756400.0,18756300.0,6190400.0,0.0
2018-01-24,9940989952.0,134816100.0,54287400.0,204420400.0,15141900.0,11827600.0,0.0
2018-01-25,8873169920.0,84587300.0,28925000.0,166116000.0,11264400.0,15219700.0,0.0
2018-01-26,9746199552.0,107743100.0,32038200.0,156572000.0,11503100.0,7828700.0,0.0
2018-01-27,7583269888.0,,,,,,
2018-01-28,8350360064.0,,,,,,
2018-01-29,7107359744.0,90118300.0,37277800.0,202561600.0,11685800.0,6956400.0,0.0
2018-01-30,8637859840.0,131796400.0,44987700.0,184192800.0,9662900.0,9736100.0,0.0
2018-01-31,8041160192.0,108364800.0,42449200.0,129915600.0,11798100.0,13418900.0,0.0
2018-02-01,9959400448.0,90102500.0,38037900.0,188923200.0,8606300.0,10854600.0,0.0
