short_window,long_window,mean_train_total_return,mean_train_annualized_return,mean_train_volatility,mean_train_sharpe,mean_train_max_drawdown,median_train_sharpe,n_assets
5,100,1.1377,0.1303,0.1877,0.5176,-0.241,0.6222,7
20,75,1.0124,0.1253,0.1911,0.5153,-0.2565,0.5776,7
10,100,0.9735,0.1177,0.189,0.4715,-0.2425,0.5479,7
5,150,0.947,0.1158,0.1916,0.4676,-0.2517,0.4743,7
5,200,0.9476,0.1171,0.1966,0.4636,-0.2444,0.4438,7
10,75,0.9959,0.1182,0.1862,0.458,-0.2317,0.5357,7
5,50,0.9651,0.1154,0.1809,0.4462,-0.2446,0.374,7
30,50,0.8896,0.1123,0.1904,0.4411,-0.2739,0.5113,7
10,50,0.8737,0.1082,0.1829,0.4409,-0.249,0.4002,7
10,150,0.9421,0.114,0.1972,0.4339,-0.2677,0.4927,7
5,75,0.9338,0.1104,0.183,0.4285,-0.25,0.3229,7
20,100,0.8286,0.107,0.194,0.4239,-0.2594,0.4189,7
20,50,0.8182,0.104,0.1881,0.3953,-0.2747,0.4025,7
30,150,0.5982,0.0913,0.2124,0.3906,-0.2957,0.4083,7
50,100,0.6491,0.0955,0.2128,0.3841,-0.3011,0.4639,7
30,75,0.6205,0.0915,0.2015,0.3791,-0.2821,0.4121,7
50,75,0.6623,0.0962,0.209,0.3775,-0.303,0.4818,7
30,100,0.6065,0.0904,0.2062,0.3658,-0.2872,0.3962,7
20,200,0.5864,0.0886,0.2151,0.3569,-0.3002,0.3888,7
10,200,0.7482,0.0996,0.2015,0.3485,-0.2801,0.4629,7
50,150,0.5513,0.0837,0.2203,0.3393,-0.3106,0.378,7
20,150,0.5948,0.0888,0.2087,0.3353,-0.3068,0.4328,7
50,200,0.5076,0.0785,0.2276,0.3067,-0.3266,0.2509,7
30,200,0.504,0.0775,0.2202,0.3013,-0.3347,0.3204,7
