regime_type,regime,strategy,mean_total_return,mean_annualized_return,mean_annualized_volatility,mean_sharpe,median_sharpe,mean_max_drawdown,total_observations,n_assets
Tendencia,Alcista,ARIMA Long/Cash,1.1726,0.3232,0.1882,1.4641,1.5576,-0.1274,4681,7
Tendencia,Alcista,Buy and Hold,1.4342,0.3804,0.1996,1.6316,1.6121,-0.1272,4681,7
Tendencia,Alcista,MA Long/Cash optimized,0.7442,0.2208,0.188,1.005,1.3149,-0.1545,4681,7
Tendencia,Bajista,ARIMA Long/Cash,0.0407,0.2057,0.1367,1.6598,0.8549,-0.059,854,7
Tendencia,Bajista,Buy and Hold,0.0064,0.392,0.2284,2.0197,0.7044,-0.1382,854,7
Tendencia,Bajista,MA Long/Cash optimized,-0.0542,-0.1433,0.0636,-2.3918,-1.9711,-0.0542,854,7
Tendencia,Lateral,ARIMA Long/Cash,-0.097,-0.1895,0.262,-0.6986,-0.5479,-0.1857,969,7
Tendencia,Lateral,Buy and Hold,-0.0375,-0.0587,0.2881,-0.11,-0.4639,-0.2021,969,7
Tendencia,Lateral,MA Long/Cash optimized,0.0515,0.1775,0.144,1.1515,0.9699,-0.0924,969,7
Volatilidad,Alta volatilidad,ARIMA Long/Cash,0.0968,0.114,0.27,0.6619,0.4529,-0.1975,1627,7
Volatilidad,Alta volatilidad,Buy and Hold,0.2175,0.2593,0.3048,1.1149,0.6032,-0.2058,1627,7
Volatilidad,Alta volatilidad,MA Long/Cash optimized,0.0655,0.0782,0.2154,0.5263,0.5214,-0.168,1627,7
Volatilidad,Baja volatilidad,ARIMA Long/Cash,0.151,0.179,0.1319,1.5348,0.6057,-0.1031,1627,7
Volatilidad,Baja volatilidad,Buy and Hold,0.1583,0.1875,0.1428,1.6631,1.0227,-0.1089,1627,7
Volatilidad,Baja volatilidad,MA Long/Cash optimized,0.1423,0.1691,0.1238,1.6377,1.4704,-0.0904,1627,7
Volatilidad,Volatilidad media,ARIMA Long/Cash,0.5221,0.258,0.1718,1.124,1.0603,-0.1537,3250,7
Volatilidad,Volatilidad media,Buy and Hold,0.5826,0.2804,0.1921,1.0832,1.0212,-0.1772,3250,7
Volatilidad,Volatilidad media,MA Long/Cash optimized,0.4604,0.2246,0.1625,0.8982,1.0227,-0.1443,3250,7
