ticker,asset_name,strategy,regime_type,regime,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,n_observations
BTC-USD,Bitcoin,Buy and Hold,Tendencia,Alcista,4.9284,1.2304,0.4575,2.6895,-0.2054,811
BTC-USD,Bitcoin,Buy and Hold,Tendencia,Bajista,-0.219,-0.3238,0.4747,-0.682,-0.372,231
BTC-USD,Bitcoin,Buy and Hold,Tendencia,Lateral,-0.1846,-0.2844,0.51,-0.5576,-0.4055,223
BTC-USD,Bitcoin,Buy and Hold,Volatilidad,Baja volatilidad,0.0184,0.0213,0.3217,0.0662,-0.2488,317
BTC-USD,Bitcoin,Buy and Hold,Volatilidad,Volatilidad media,1.8374,0.8297,0.4357,1.9043,-0.471,631
BTC-USD,Bitcoin,Buy and Hold,Volatilidad,Alta volatilidad,0.3064,0.361,0.6357,0.5678,-0.2557,317
BTC-USD,Bitcoin,MA Long/Cash optimized,Tendencia,Alcista,2.1861,0.6859,0.4266,1.6079,-0.2029,811
BTC-USD,Bitcoin,MA Long/Cash optimized,Tendencia,Bajista,-0.1119,-0.1712,0.135,-1.2677,-0.1119,231
BTC-USD,Bitcoin,MA Long/Cash optimized,Tendencia,Lateral,0.04,0.0664,0.2693,0.2465,-0.1946,223
BTC-USD,Bitcoin,MA Long/Cash optimized,Volatilidad,Baja volatilidad,-0.0965,-0.1104,0.2591,-0.4262,-0.2094,317
BTC-USD,Bitcoin,MA Long/Cash optimized,Volatilidad,Volatilidad media,1.6956,0.7762,0.3505,2.2146,-0.2268,631
BTC-USD,Bitcoin,MA Long/Cash optimized,Volatilidad,Alta volatilidad,0.2083,0.2438,0.4676,0.5214,-0.2515,317
BTC-USD,Bitcoin,ARIMA Long/Cash,Tendencia,Alcista,3.977,1.0613,0.4339,2.4459,-0.2054,811
BTC-USD,Bitcoin,ARIMA Long/Cash,Tendencia,Bajista,0.0376,0.0602,0.2176,0.2767,-0.0937,231
BTC-USD,Bitcoin,ARIMA Long/Cash,Tendencia,Lateral,-0.3174,-0.4652,0.4894,-0.9505,-0.3986,223
BTC-USD,Bitcoin,ARIMA Long/Cash,Volatilidad,Baja volatilidad,0.1449,0.1689,0.2788,0.6057,-0.2025,317
BTC-USD,Bitcoin,ARIMA Long/Cash,Volatilidad,Volatilidad media,1.5413,0.7165,0.395,1.8142,-0.3632,631
BTC-USD,Bitcoin,ARIMA Long/Cash,Volatilidad,Alta volatilidad,0.2116,0.2478,0.5471,0.4529,-0.2853,317
SPY,S&P 500 ETF,Buy and Hold,Tendencia,Alcista,1.0114,0.2637,0.124,2.1272,-0.0841,750
SPY,S&P 500 ETF,Buy and Hold,Tendencia,Bajista,0.0681,1.1984,0.1613,7.4285,-0.023,21
SPY,S&P 500 ETF,Buy and Hold,Tendencia,Lateral,-0.0528,-0.131,0.2823,-0.4639,-0.1848,97
SPY,S&P 500 ETF,Buy and Hold,Volatilidad,Baja volatilidad,0.1806,0.2119,0.0952,2.2251,-0.0503,217
SPY,S&P 500 ETF,Buy and Hold,Volatilidad,Volatilidad media,0.2214,0.1227,0.1292,0.9499,-0.1224,434
SPY,S&P 500 ETF,Buy and Hold,Volatilidad,Alta volatilidad,0.4112,0.49,0.2208,2.2195,-0.1523,217
SPY,S&P 500 ETF,MA Long/Cash optimized,Tendencia,Alcista,0.6779,0.1893,0.1173,1.6143,-0.0953,750
