ticker,asset_name,strategy,regime_type,regime,total_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,n_observations
BTC-USD,Bitcoin,Buy and Hold,Tendencia,Alcista,4.9284,1.2304,0.4575,2.6895,-0.2054,811
BTC-USD,Bitcoin,Buy and Hold,Tendencia,Bajista,-0.2152,-0.3185,0.4742,-0.6715,-0.372,231
BTC-USD,Bitcoin,Buy and Hold,Tendencia,Lateral,-0.1846,-0.2844,0.51,-0.5576,-0.4055,223
BTC-USD,Bitcoin,Buy and Hold,Volatilidad,Baja volatilidad,0.0184,0.0213,0.3217,0.0662,-0.2488,317
BTC-USD,Bitcoin,Buy and Hold,Volatilidad,Volatilidad media,1.8514,0.8349,0.4355,1.9172,-0.471,631
BTC-USD,Bitcoin,Buy and Hold,Volatilidad,Alta volatilidad,0.3064,0.361,0.6357,0.5678,-0.2557,317
BTC-USD,Bitcoin,EMA Long/Cash,Tendencia,Alcista,2.1861,0.6859,0.4266,1.6079,-0.2029,811
BTC-USD,Bitcoin,EMA Long/Cash,Tendencia,Bajista,-0.1119,-0.1712,0.135,-1.2677,-0.1119,231
BTC-USD,Bitcoin,EMA Long/Cash,Tendencia,Lateral,0.04,0.0664,0.2693,0.2465,-0.1946,223
BTC-USD,Bitcoin,EMA Long/Cash,Volatilidad,Baja volatilidad,-0.0965,-0.1104,0.2591,-0.4262,-0.2094,317
BTC-USD,Bitcoin,EMA Long/Cash,Volatilidad,Volatilidad media,1.6956,0.7762,0.3505,2.2146,-0.2268,631
BTC-USD,Bitcoin,EMA Long/Cash,Volatilidad,Alta volatilidad,0.2083,0.2438,0.4676,0.5214,-0.2515,317
BTC-USD,Bitcoin,ARIMA Long/Cash,Tendencia,Alcista,3.0191,0.872,0.4214,2.0694,-0.2631,811
BTC-USD,Bitcoin,ARIMA Long/Cash,Tendencia,Bajista,0.0376,0.0602,0.2176,0.2767,-0.0937,231
BTC-USD,Bitcoin,ARIMA Long/Cash,Tendencia,Lateral,-0.2139,-0.326,0.4822,-0.676,-0.3074,223
BTC-USD,Bitcoin,ARIMA Long/Cash,Volatilidad,Baja volatilidad,0.1449,0.1689,0.2788,0.6057,-0.2025,317
BTC-USD,Bitcoin,ARIMA Long/Cash,Volatilidad,Volatilidad media,1.3567,0.6431,0.3803,1.6912,-0.4094,631
BTC-USD,Bitcoin,ARIMA Long/Cash,Volatilidad,Alta volatilidad,0.215,0.2518,0.537,0.4689,-0.2833,317
SPY,S&P 500 ETF,Buy and Hold,Tendencia,Alcista,1.0133,0.2641,0.124,2.1302,-0.0841,750
SPY,S&P 500 ETF,Buy and Hold,Tendencia,Bajista,0.0681,1.1984,0.1613,7.4285,-0.023,21
SPY,S&P 500 ETF,Buy and Hold,Tendencia,Lateral,-0.0528,-0.131,0.2823,-0.4639,-0.1848,97
SPY,S&P 500 ETF,Buy and Hold,Volatilidad,Baja volatilidad,0.1806,0.2119,0.0952,2.2251,-0.0503,217
SPY,S&P 500 ETF,Buy and Hold,Volatilidad,Volatilidad media,0.2225,0.1233,0.1292,0.9545,-0.1224,434
SPY,S&P 500 ETF,Buy and Hold,Volatilidad,Alta volatilidad,0.4112,0.49,0.2208,2.2195,-0.1523,217
SPY,S&P 500 ETF,EMA Long/Cash,Tendencia,Alcista,0.6795,0.1897,0.1173,1.6172,-0.0953,750
SPY,S&P 500 ETF,EMA Long/Cash,Tendencia,Bajista,-0.023,-0.2425,0.0594,-4.0827,-0.023,21
SPY,S&P 500 ETF,EMA Long/Cash,Tendencia,Lateral,0.0363,0.0967,0.0997,0.9699,-0.058,97
SPY,S&P 500 ETF,EMA Long/Cash,Volatilidad,Baja volatilidad,0.1806,0.2119,0.0952,2.2251,-0.0503,217
SPY,S&P 500 ETF,EMA Long/Cash,Volatilidad,Volatilidad media,0.2232,0.1237,0.1204,1.0276,-0.082,434
SPY,S&P 500 ETF,EMA Long/Cash,Volatilidad,Alta volatilidad,0.1775,0.2082,0.1199,1.7366,-0.0753,217
SPY,S&P 500 ETF,ARIMA Long/Cash,Tendencia,Alcista,0.8438,0.2274,0.1128,2.0167,-0.0841,750
SPY,S&P 500 ETF,ARIMA Long/Cash,Tendencia,Bajista,0.024,0.3277,0.0747,4.3842,-0.014,21
SPY,S&P 500 ETF,ARIMA Long/Cash,Tendencia,Lateral,-0.0432,-0.1081,0.1042,-1.038,-0.0955,97
SPY,S&P 500 ETF,ARIMA Long/Cash,Volatilidad,Baja volatilidad,0.1598,0.1872,0.0868,2.1558,-0.0503,217
SPY,S&P 500 ETF,ARIMA Long/Cash,Volatilidad,Volatilidad media,0.1839,0.1026,0.1168,0.8786,-0.1224,434
SPY,S&P 500 ETF,ARIMA Long/Cash,Volatilidad,Alta volatilidad,0.3157,0.3738,0.1208,3.0949,-0.0529,217
QQQ,Nasdaq 100 ETF,Buy and Hold,Tendencia,Alcista,1.3728,0.3341,0.1724,1.9386,-0.1356,753
QQQ,Nasdaq 100 ETF,Buy and Hold,Tendencia,Bajista,0.121,1.1711,0.2311,5.0678,-0.0832,37
QQQ,Nasdaq 100 ETF,Buy and Hold,Tendencia,Lateral,0.0659,0.2282,0.365,0.6251,-0.1747,78
QQQ,Nasdaq 100 ETF,Buy and Hold,Volatilidad,Baja volatilidad,0.3735,0.444,0.1348,3.2935,-0.0617,217
QQQ,Nasdaq 100 ETF,Buy and Hold,Volatilidad,Volatilidad media,0.3268,0.1778,0.1713,1.0381,-0.1112,434
QQQ,Nasdaq 100 ETF,Buy and Hold,Volatilidad,Alta volatilidad,0.5557,0.668,0.2875,2.3236,-0.2103,217
QQQ,Nasdaq 100 ETF,EMA Long/Cash,Tendencia,Alcista,0.8318,0.2238,0.1666,1.3428,-0.1619,753
QQQ,Nasdaq 100 ETF,EMA Long/Cash,Tendencia,Bajista,-0.0386,-0.2344,0.064,-3.6626,-0.0386,37
QQQ,Nasdaq 100 ETF,EMA Long/Cash,Tendencia,Lateral,0.1893,0.748,0.175,4.2744,-0.0658,78
QQQ,Nasdaq 100 ETF,EMA Long/Cash,Volatilidad,Baja volatilidad,0.3735,0.444,0.1348,3.2935,-0.0617,217
QQQ,Nasdaq 100 ETF,EMA Long/Cash,Volatilidad,Volatilidad media,0.2626,0.1445,0.1637,0.8828,-0.1112,434
QQQ,Nasdaq 100 ETF,EMA Long/Cash,Volatilidad,Alta volatilidad,0.2078,0.2443,0.1913,1.2774,-0.1052,217
QQQ,Nasdaq 100 ETF,ARIMA Long/Cash,Tendencia,Alcista,1.0127,0.2628,0.1656,1.5872,-0.1356,753
QQQ,Nasdaq 100 ETF,ARIMA Long/Cash,Tendencia,Bajista,0.0391,0.2976,0.1594,1.8673,-0.0543,37
QQQ,Nasdaq 100 ETF,ARIMA Long/Cash,Tendencia,Lateral,-0.1042,-0.2985,0.3177,-0.9397,-0.1747,78
QQQ,Nasdaq 100 ETF,ARIMA Long/Cash,Volatilidad,Baja volatilidad,0.3057,0.3618,0.1325,2.7297,-0.0617,217
QQQ,Nasdaq 100 ETF,ARIMA Long/Cash,Volatilidad,Volatilidad media,0.2331,0.129,0.1635,0.7887,-0.1112,434
QQQ,Nasdaq 100 ETF,ARIMA Long/Cash,Volatilidad,Alta volatilidad,0.1636,0.1917,0.2547,0.7526,-0.2103,217
AAPL,Apple,Buy and Hold,Tendencia,Alcista,0.9804,0.3161,0.2189,1.444,-0.1405,625
AAPL,Apple,Buy and Hold,Tendencia,Bajista,0.2222,0.4825,0.2496,1.9334,-0.0834,128
AAPL,Apple,Buy and Hold,Tendencia,Lateral,-0.0363,-0.0776,0.3943,-0.1968,-0.253,115
AAPL,Apple,Buy and Hold,Volatilidad,Baja volatilidad,-0.0087,-0.0101,0.1625,-0.0623,-0.2153,217
AAPL,Apple,Buy and Hold,Volatilidad,Volatilidad media,0.981,0.4854,0.2198,2.2082,-0.1325,434
AAPL,Apple,Buy and Hold,Volatilidad,Alta volatilidad,0.1878,0.2205,0.3656,0.6032,-0.3168,217
AAPL,Apple,EMA Long/Cash,Tendencia,Alcista,0.4396,0.1577,0.2024,0.7794,-0.201,625
AAPL,Apple,EMA Long/Cash,Tendencia,Bajista,-0.0594,-0.1132,0.0591,-1.9154,-0.0594,128
AAPL,Apple,EMA Long/Cash,Tendencia,Lateral,0.1569,0.375,0.1569,2.3897,-0.0441,115
AAPL,Apple,EMA Long/Cash,Volatilidad,Baja volatilidad,-0.0118,-0.0137,0.1291,-0.1061,-0.1788,217
AAPL,Apple,EMA Long/Cash,Volatilidad,Volatilidad media,0.4742,0.2519,0.1879,1.3407,-0.1871,434
AAPL,Apple,EMA Long/Cash,Volatilidad,Alta volatilidad,0.0754,0.0878,0.2144,0.4095,-0.1864,217
AAPL,Apple,ARIMA Long/Cash,Tendencia,Alcista,0.3873,0.1406,0.1966,0.7152,-0.183,625
AAPL,Apple,ARIMA Long/Cash,Tendencia,Bajista,-0.0036,-0.007,0.1681,-0.0415,-0.0834,128
AAPL,Apple,ARIMA Long/Cash,Tendencia,Lateral,-0.0295,-0.0633,0.358,-0.1768,-0.2462,115
AAPL,Apple,ARIMA Long/Cash,Volatilidad,Baja volatilidad,0.044,0.0512,0.1441,0.3551,-0.1835,217
AAPL,Apple,ARIMA Long/Cash,Volatilidad,Volatilidad media,0.432,0.231,0.1734,1.332,-0.1312,434
AAPL,Apple,ARIMA Long/Cash,Volatilidad,Alta volatilidad,-0.1026,-0.1178,0.3387,-0.3479,-0.3421,217
PG,Procter & Gamble,Buy and Hold,Tendencia,Alcista,0.298,0.1564,0.1536,1.0183,-0.0899,451
PG,Procter & Gamble,Buy and Hold,Tendencia,Bajista,-0.0972,-0.0937,0.1787,-0.5245,-0.1667,261
PG,Procter & Gamble,Buy and Hold,Tendencia,Lateral,-0.0732,-0.1153,0.2055,-0.5607,-0.2251,156
PG,Procter & Gamble,Buy and Hold,Volatilidad,Baja volatilidad,0.1087,0.1268,0.124,1.0227,-0.076,217
PG,Procter & Gamble,Buy and Hold,Volatilidad,Volatilidad media,0.0218,0.0126,0.1611,0.078,-0.1539,434
PG,Procter & Gamble,Buy and Hold,Volatilidad,Alta volatilidad,-0.0413,-0.0477,0.2251,-0.2118,-0.2163,217
PG,Procter & Gamble,EMA Long/Cash,Tendencia,Alcista,0.0417,0.023,0.1413,0.1627,-0.1174,451
PG,Procter & Gamble,EMA Long/Cash,Tendencia,Bajista,-0.0728,-0.0701,0.0503,-1.3953,-0.0728,261
PG,Procter & Gamble,EMA Long/Cash,Tendencia,Lateral,-0.1251,-0.1936,0.1428,-1.3559,-0.1776,156
PG,Procter & Gamble,EMA Long/Cash,Volatilidad,Baja volatilidad,0.1374,0.1607,0.1093,1.4704,-0.053,217
PG,Procter & Gamble,EMA Long/Cash,Volatilidad,Volatilidad media,-0.0763,-0.0449,0.1103,-0.4073,-0.205,434
PG,Procter & Gamble,EMA Long/Cash,Volatilidad,Alta volatilidad,-0.1956,-0.2227,0.1508,-1.4775,-0.2648,217
PG,Procter & Gamble,ARIMA Long/Cash,Tendencia,Alcista,0.2441,0.1294,0.1386,0.9334,-0.0899,451
PG,Procter & Gamble,ARIMA Long/Cash,Tendencia,Bajista,-0.0061,-0.0058,0.0611,-0.0954,-0.0639,261
PG,Procter & Gamble,ARIMA Long/Cash,Tendencia,Lateral,-0.1172,-0.1819,0.1399,-1.2999,-0.137,156
PG,Procter & Gamble,ARIMA Long/Cash,Volatilidad,Baja volatilidad,0.0215,0.0249,0.1145,0.2175,-0.076,217
PG,Procter & Gamble,ARIMA Long/Cash,Volatilidad,Volatilidad media,-0.0085,-0.005,0.1233,-0.0402,-0.1176,434
PG,Procter & Gamble,ARIMA Long/Cash,Volatilidad,Alta volatilidad,0.0779,0.0908,0.1233,0.7361,-0.0761,217
GLD,Gold ETF,Buy and Hold,Tendencia,Alcista,1.3729,0.3209,0.1991,1.6121,-0.1921,780
GLD,Gold ETF,Buy and Hold,Tendencia,Bajista,,,,,,0
GLD,Gold ETF,Buy and Hold,Tendencia,Lateral,-0.0383,-0.1055,0.1895,-0.5568,-0.1311,88
GLD,Gold ETF,Buy and Hold,Volatilidad,Baja volatilidad,0.3989,0.4749,0.109,4.3567,-0.0808,217
